"CTNAME","PopTotal","HabKm2","PctFRev","TxChomage","PctImmigrant","PctImgRecent","PctMenage1pers","PctFamilleMono","PctLangueMaternelleFR","PctLangueMaternelleAN","PctLangueMaternelleAU"
"0095.00",1955,8825,12.532,7.473,24.869,5.759,46.479,19.753,27.419,45.699,26.613
"0096.00",2270,11764,10.132,9.556,24.628,4.883,39.631,22.936,29.954,47.926,21.889
"0097.01",6265,17770,10.854,10.36,49.082,15.802,49.165,22.373,18.776,34.619,46.605
"0097.02",3680,9349,13.995,12.366,49.113,24.557,51.02,19.76,14.551,30.1,55.35
"0098.00",5310,5120,17.702,8.958,38.006,4.233,32.962,21.918,19.764,44.641,35.595
"0099.00",5625,8136,20,9.594,37.411,4.255,42.095,22.105,27.027,39.609,33.364
"0100.01",4050,8845,15.309,8.81,43.317,9.777,37.568,24.186,20.132,35.789,44.342
"0100.02",3475,9777,12.95,11.382,48.867,12.04,30.175,24.737,18.295,35.194,46.512
"0101.01",4005,11330,22.347,11.765,54.614,12.389,40.274,27.184,13.889,36.376,49.603
"0101.02",3670,10233,15.531,11.732,53.053,12.619,33.441,32.642,18.421,36.55,45.029
"0102.00",4210,7139,15.796,6.299,28.775,6.897,39.043,20.444,34.198,41.235,24.568
"0103.00",2415,7251,15.735,7.865,22.153,2.277,36.818,11.905,39.52,43.013,17.467
"0104.00",2800,7372,17.321,6.709,25.26,3.114,29.204,12.162,50.657,33.959,15.572
"0105.00",3330,10980,15.916,5.191,29.122,4.931,36.129,21.547,42.925,37.361,19.396
"0106.00",1870,7875,25.401,7.772,31.421,7.65,40.437,19.588,42.462,31.91,25.377
"0107.00",1490,9600,10.403,11.413,42.857,13.043,51.25,25,29.758,32.526,37.716
"0108.00",3715,6588,26.245,6.047,27.075,4.49,32.822,17.857,40.544,38.912,20.68
"0109.00",2115,12682,13.475,11.952,37.857,6.667,41.706,20.588,32,32.75,35.25
"0110.00",3835,15620,9.126,10.494,46.488,16.603,45.385,22.778,33.333,23.75,42.778
"0111.00",6480,8645,16.975,9.038,48.843,6.096,37.39,22.727,26.678,31.317,41.839
"0112.01",5290,8390,9.168,9.387,52.768,9.225,24.571,23.077,9.459,34.407,56.133
"0112.02",4060,14695,18.719,8.955,65.418,12.609,43.127,25.269,11.44,26.649,61.777
"0113.00",5080,10258,11.614,9.654,53.113,14.883,32.867,25.1,32.558,19.556,47.886
"0114.00",1990,7028,16.583,8.37,43.544,8.608,31.034,18.447,37.433,28.61,33.957
"0115.01",2005,9163,16.958,6.161,44.643,11.224,33.14,17.308,45.867,21.6,32.8
"0115.02",5785,13547,21.003,11.594,50.821,18.755,55.556,17.2,41.667,11.866,46.558
